author,time,text
@lashaabramishvili4469,1 day ago,"ფუ პოდკასტიდან გადმოვედი და მიკვირს აქმდე რომ არ ვიცოდი ეს არხი იმდენად პოზიტიური საუბრის მანერა გაქვს და ადამიანიც ხარ, რომ დროის საკითხია ნახვებუ  წარმატებებიი"
@levanchiokadze,5 hours ago (edited),"ულამაზესი გარემო, გულიანი მასპინძლობა და საოცარი იმერული სამზარეულოა. საუკეთესო ოჯახია და სასიამოვნოა ამ ხალხთან ურთიერთობა. ყველას გირჩევთ გზად ესტუმროთ ამ მშვენიერ ადგილს ️."
@blackking3917,3 hours ago,ძალიან საინტერესო და სასიამოვნო ხალხია  რა თქმა უნდა თქვენც და მადლობა რომ ასეთ ადგილება და ადამიანება გვაცნობ
@nianiasan,4 days ago,აუუ რა კარგი იყო ესეთი მარგალიტების ნახვა გვწყურია. უცხო და უჩვეულო ჩვენი ჩვეული თვალთახედვისთვის
@gagagaga9419,12 hours ago,მახარა და კალასგანპოზიტიური საინტერესო კონტენტი გაქვს და აუცილებლად გიყურებ შემდეგში...მოკითხვა ემიგრაციიდან
@LelaKamushadze,1 day ago,"მშვენიერი ამბები მოგვაწოდე ,თან იმერეთიდან მადლობა ანნა"
@Mishkajanjgava,7 hours ago,"წარმატებები  <3 
საკმაოდ სასიამოვნო საყურებელია ვიდეოები"
@IrmaPheradze,3 days ago,"უსაყვარლესი ლია დეიდა, წარმატებები შოთიკო და გიორგი ️"
@Alex84919,5 days ago,"რამდენჯერაც არგვეთას გავუვლი-ხოლმე,სულ მახსენდება თქვენი ოჯახი. იმსახურებთ უამრავ წარმატებას,ერთ-ერთი საუკეთესო საკვებია მთელს საქართველოშიპატივიცემით ხატია (  VG ;)"
@tikozakareishvili,23 hours ago,უუჰ რა სურნელი ტრიალებს  რეჰანი
@EliEli-q8h,4 days ago (edited),"იფფ.. რა კარგია ჩემი იმერეთი. 
რა ვაჟკაცური ქალიბრძანდება დიასახლისი  ქბ.ლია მოხერხებული ,ბუნჩულა ხელებით  გულიანად ნამზადიიი.. უჰჰჰ ."
@zichy88,4 days ago,"ჩემი სიყვარულის ხალხი,თქვენ გენაცვალეთ."
@mikheilotsepkin,9 hours ago,From saechvowarmatebebi shen da shen arxs
@ninobabisa,3 days ago,"რა კარგი ეპიზოდია <3 მააააგრან ძაან მაინტერესებდა, როგორი ""რეჰანი"" სუნამო გამოვიდა"
@jeqsio787,10 hours ago,From maxara
@KhatutiKadagidze,4 days ago,ერთხელ ვესტუმრეთ დეიდა ლიას სამზარეულოს და უგემრიელესი იყო ყველაფერი!
@სალომესამუშია-რ9კ,10 hours ago,ფუ პოდკასტიდან️ წარმატებები
@coronerxd,4 days ago,"hachaputi chans sascauli! rogor moatavsa amdeni kveli shignit, gasaocaria )"
@MakaSmidt,1 hour ago,"ფუპოდკასტიდან გადმოვედიეს გოგო რა საყვარელი ყოფილა...არადა ამდენი წელია ტელევიზიაში სხვანაირად ვხედავდი...

."
@katokato6862,5 days ago,როგორ მოყვარს საოჯახო კვების ობიექტები
@tamunakobakhidze618,5 days ago,რა ლამაზი ადგილია
@teakupradze1991,4 days ago,"წარმატებები ლია დიედას მისი მარწყვის ტორტიც უნდა დაგეგგემოვებინათ,ჩემი ბავშობაა!️"
@kvernadze,15 hours ago,"ვააა,  ქართული პარფიუმერია იმ ექშენ..."
@tatiaQ457,4 days ago,"ეკალა, პრასი, ეს არის ჩემი ბედნიერება,  გაუმარჯოს იმერლებს"
@euphorianelly,1 hour ago,ფრმ  ფუ პოდკასტი ️
@Polikarpe,4 days ago,"ბრავი ანა მართლაც საინტერესო და სასიამოვნო ხდება ყოველი ვიდეო!და თანაც ეს უბრალოება,არა დადგმული სცენარი ისეთი მარტივია,ერთი სიტყვით კარგია ბრავო!ლაშას ღვაწლი არ უნდა დაგვავიწყდესსაქართველო მართლაც საოცრებაა,ერთი პატარა ოჯახი ჩვეულებრივ შეიძლება ტურისტისთვის ერთ ვახშამზე თავის კერძებით ანახებს საქართველოს და იმერეთის ხალის!კაია ძალიან!"
@levanixeco4527,5 days ago,"ძალიან, ძალიან, ძალიან, მაგარი ხაჭაპური.  კოლაბორაციის დროა. მიდექით მოდექით უარს არავინ გეტყვით დარწმუნებული ვარ. წარმატებებიი საუკეთესო კონტენტს."
@GvancaBichinashvili-o9p,4 days ago,"წარმატებები რეჰანს ,ლია დეიდას და გიოს"
@zviadegadze7399,4 days ago,აუუუ  შეგვიბრალეთ ემიგრანტები
@ninosharikadze4486,4 days ago,"რა კარგია, მადლობა რომ გაგვაცანით  სად არის ის ეპიზოდი რომელზეც თქვით აღწერაში დავდებთო"
@zichy88,4 days ago,"ბავშვობიდან,მაგათ საჭმელებზე,კონონზე და ორსართულიან საწოლებზე ვოცნებობდი. დიდი ისტორიაა აუ ძაან ჩემები არიან და მაგრად გამეხარდა ეს ვიდეო. მაგათ საჭმელებზე ვართ გაზრდილები მართლა."
@kvernadze,15 hours ago (edited),ეკალა არის ზე ბესთ
@EliEli-q8h,4 days ago (edited),"გაიხარეთ ..რამდენი ვიცინე
წარმატებები"
@lauracercvadze-lg2mn,4 days ago,გაიხარეთ.  ყოჩაღ .. კარგები ხართ ️ წარმატებებიიი
@zichy88,4 days ago,"ჩემი შოთიკო,ჩემი ბავშვობის ნიჭიერი ძმაკაცი."
@SA808-jkh,5 days ago,ყოჩაღ მთელ ოჯახს სამაგალითო ამბავია
@zichy88,4 days ago,ყველაზე მაგარი ადგილი.
@dianakhurtsidze3417,17 hours ago,მეც ფუ პოდკასტიდან გადმოვედი და ლია დეიდა და გიორგიც როგორი პოზიტიურები არიან გავგიჟდი ️️️
@tatiaQ457,4 days ago,"ძალიან საინტერესო იქნება სტაფილოს ფხალი, ქალბატონი ლიას რეცეპტი როგორ მაინტერესებს"
@Mr.LEONE1,8 hours ago,საეჭვოოოოოოოოოოოდან!!!!!
@temuripitava2668,4 days ago,"უგემრიელესები არიან და ზუსტად იგივე რეაქციები გვქონდა ყველაფერზე..ხაჭაპური, პრასი, წიწილა....ყველაფერი"
@tamunakobakhidze2370,5 days ago,️️️
@hildesheim-k7b,5 days ago,
@MakaNemsiashvili,5 days ago,
@ShakoMaglaperidze,22 hours ago,From saechvooo
@KG-Georges,5 hours ago,მეც ფუ პოტკასტიდან გადმოვედი მაგრამ ჯერ ვერ გიყურებთ დიეტაზე ვარ  წარმატებები
@mikheilk883,4 days ago,
@MA7Mu,15 hours ago,from saechvoooo
@gulikokaulashvili9567,5 days ago,
@ziko7011,4 days ago,ონლაინ თუ არის შესაძლებელი სუნამოების ნახვის ან თბილისში თუ იყიდება სადმე?
@mariami2287,23 hours ago,#ფრომსაეჭვო #ფრომსაეჭვო
@nikolozkolkhitashvili6528,10 hours ago,#fromsaechvo +1 #fromsaechvo
@bzuala,5 days ago,ჩვენც გვინდა :D მადლობა
@EliEli-q8h,4 days ago,თუ არ ვცდები მოჭადრაკე მაია ჩიბურდანიძეც  ამზადებს სახლში სუნამოებს ️
@nicknika1,1 day ago,#ფრომფუსაეჭვო #ფრომფუსაეჭვო
@zichy88,4 days ago,"როდის ჩამოვალ რომ პირველი დავადგე ჩემს ჟორჟოლაძეებს,ჯერ კარგად შევჭამ და დავლევ,მერე გადავალ იქვე და სუნამოსაც ვიბკურებ,მხოლოდ ოკეანე მაშორებს ამ ბედნიერებას."
@vilson-mandelaa5876,4 days ago,მისცხეთ ლაიქს.მიალაიქეთ.
@ziko7011,5 days ago,"თქვენ მეგობრები ხართ, საქმიანი პარტნიორები თუ შეყვარებულები?
ტუტუცი ცნობისმოყვარეობის გამო თუ არ მიპასუხებთ ამ კითხვაზე არ მეწყინება"
@shotachinchaladze2595,5 days ago,"თირკმელში გავცვლიდი ეხლა მანდ ყოფნას, მაგ სალათებს და ხაჭაპურს"
@giorgingeorgen,5 days ago,"აუ ამ გოგოს ასეთ რა მოსაწევს აწევინებთ რომ მერე ისეთი მადა ეხსნება რომ საჭმლის ჭამაში ტიპი ""ორგაზმს"" განიცდის🩷🩷🩷🩷🩷"
